Name,Reviews,Rating,Address,Cuisine,State
Topnotch Island Flavor Kitchen,80,4.5,16816 N Cave Creek Rd,"Caribbean, Tacos",Arizona
Angie’s Lobster,149,4.5,1901 W Pinnacle Peak Rd,"Sandwiches, Coffee & Tea, Breakfast & Brunch",Arizona
Twin Peaks,82,3.5,3063 W Agua Fria Fwy,"American (New), Sports Bars, American (Traditional)",Arizona
Lychee Kitchen,324,4.5,23450 N 19th Ave,"Sushi Bars, Noodles",Arizona
Captain Jo's AZ,6,5.0,1609 E Bell Rd,"Seafood, Seafood Markets",Arizona
King Donuts AZ,5,4.0,17238 N 19th Ave,"Donuts, Bubble Tea, Sandwiches",Arizona
Hot Chicken Alley,65,5.0,13636 N Tatum Blvd,"Chicken Shop, Sandwiches",Arizona
North Mountain Brewing Company,631,4.0,522 E Dunlap Ave,"Breweries, American (Traditional)",Arizona
Da Valley Grill,248,4.0,2040 W Deer Valley Rd,"Hawaiian, Asian Fusion",Arizona
Lookout Tavern,430,3.5,830 E Greenway Pkwy,"Cocktail Bars, Sports Bars, American (New)",Arizona
Yi's Chinese Restaurant,256,4.5,1512 W Bell Rd,Chinese,Arizona
The Palms Mediterranean Kitchen,44,4.5,7811 N 12th St,Mediterranean,Arizona
Birrieria Tijuana,106,4.5,3202 E Greenway Rd,Tacos,Arizona
Angry Chickz,172,3.5,5130 W Bell Rd,Chicken Shop,Arizona
Tacos Calafia - North Phoenix,124,4.5,1606 E Bell Rd,Tacos,Arizona
My spot Mediterranean Grill,11,5.0,1601 E Bell Rd,"Mediterranean, Salad, Sandwiches",Arizona
Go Go Joes,2,5.0,3033 W Agua Fria Fwy,"Soul Food, Caterers",Arizona
Reign of Thai,574,4.5,12032 Cave Creek Rd,Thai,Arizona
Habanero Fresh Mexican Grill,166,4.5,701 W Deer Valley Rd,Mexican,Arizona
Cuff,410,4.5,7021 N 58th Ave,"Cocktail Bars, American (New)",Arizona
The Root Cafe,904,4.5,1500 S Main St,"Cafes, Burgers, Breakfast & Brunch",Arkansas
Brood & Barley,138,4.5,411 Main St,"Salad, Gastropubs, Sandwiches",Arkansas
Petit & Keet,205,4.5,1620 Market St,"American (New), Beer, Wine & Spirits",Arkansas
Samantha's Tap Room & Wood Grill,444,4.0,322 Main St,"American (Traditional), Beer Bar, Wine Bars",Arkansas
Three Fold Noodles and Dumpling,836,4.5,611 South Main St,"Chinese, Noodles",Arkansas
Maddie's Place,230,4.5,1615 Rebsamen Park Rd,"Cajun/Creole, Southern, Seafood",Arkansas
The Rail Yard,96,4.0,1212 E 6th St,"Bars, Barbeque",Arkansas
Allsopp & Chapple Restaurant + Bar,155,4.5,311 Main St,"American (New), Cocktail Bars",Arkansas
Capital Bar and Grill,196,4.0,111 W Markham St,"American (Traditional), Cocktail Bars",Arkansas
Red Bowl,24,4.0,9700 N Rodney Parham Rd,"Dim Sum, Pan Asian",Arkansas
Table 28,215,4.5,1501 Merrill Dr,"American (New), Desserts",Arkansas
Big Orange,642,4.5,207 N University Ave,Burgers,Arkansas
Buenos Aires Grill and Cafe,239,4.5,614 President Clinton Ave,"Argentine, Spanish, Italian",Arkansas
Camp Taco,117,4.0,822 E 6th St,"Beer Bar, Tacos, Breweries",Arkansas
The Pantry Restaurant,451,4.5,11401 N Rodney Parham Rd,"Bars, German, Sandwiches",Arkansas
At The Corner,526,4.5,201 E Markham St,"Salad, Breakfast & Brunch, Sandwiches",Arkansas
The House Of Mental,12,5.0,801 Chester St,"Soul Food, Southern, Comfort Food",Arkansas
Dizzy's Gypsy Bistro,365,4.0,200 River Market Ave,"American (New), Cocktail Bars",Arkansas
Tamalcalli,3,4.5,308 Main St,Mexican,Arkansas
Flying Saucer,394,4.0,323 President Clinton Ave,"Beer Bar, American (Traditional)",Arkansas
Bruno's Little Italy,241,4.0,310 Main St,"Italian, Cocktail Bars, Seafood",Arkansas
Flying Fish,728,4.0,511 President Clinton Ave,"Seafood, Southern, Burgers",Arkansas
Sauced Bar and Oven,161,4.0,11121 N Rodney Parham Rd,"Pizza, Burgers, Tapas Bars",Arkansas
Cypress Social,135,4.5,7103 Cock Of The Walk Ln,"Seafood, Steakhouses, Bars",Arkansas
Big Bad Breakfast - Little Rock,148,4.0,101 S Bowman Rd,"Breakfast & Brunch, Southern",Arkansas
Gus's World Famous Fried Chicken - Little Rock,512,4.0,300 President Clinton Ave,"Southern, Chicken Shop, Comfort Food",Arkansas
Lazy Pete's,103,4.5,200 N Bowman Rd,"Cajun/Creole, Southern, Seafood",Arkansas
Skinny J's,211,4.0,314 Main St,"Steakhouses, Burgers, Breakfast & Brunch",Arkansas
Cafe Bossa Nova,179,4.5,2701 Kavanaugh Blvd,"Brazilian, Cafes, Salad",Arkansas
Flora Jean's,16,4.5,433 E 3rd St,Tacos,Arkansas
One Eleven At The Capital,85,4.5,111 W Markham St,"American (New), Breakfast & Brunch, Steakhouses",Arkansas
Ye Paul's Soul Bodega & Grill,39,5.0,4424 Frazier Pike,"Burgers, American (Traditional), Chicken Wings",Arkansas
Doe's Eat Place,214,4.0,1023 W Markham,"Steakhouses, Burgers, Sandwiches",Arkansas
Bobbie D's,22,5.0,3201 W 65th,Southern,Arkansas
Mockingbird Bar & Tacos,108,4.0,1220 S Main St,"Bars, Latin American, Tacos",Arkansas
Blackberry Market,36,4.5,315A Main St,"Bakeries, Breakfast & Brunch, Cupcakes",Arkansas
Copper Grill,127,3.5,300 E 3rd St,"American (New), Wine Bars",Arkansas
Ciao Baci,111,4.5,605 Beechwood St,"Tapas Bars, American (New), Wine Bars",Arkansas
Malibu Cafe,57,4.5,402 S Louisiana St,"Cafes, Breakfast & Brunch",Arkansas
Sonny Williams' Steak Room,147,4.0,500 President Clinton Ave,"Steakhouses, Seafood",Arkansas
Brave New Restaurant,200,4.0,2300 Cottondale Ln,"American (New), Sandwiches",Arkansas
The Pantry Crest,93,4.5,722 N Palm St,"German, Desserts, Cocktail Bars",Arkansas
Kiyen's KamiKaito,65,4.5,521 Main St,"Japanese, Sushi Bars",Arkansas
Mr. Chen's Authentic Chinese Cooking,210,4.0,3901 S University Ave,"Chinese, Taiwanese",Arkansas
MeMe's Twisted Potato,76,5.0,3005 Asher Ave,"Vegan, Vegetarian, Comfort Food",Arkansas
Kontiki African Restaurant,28,4.5,3901 S University,African,Arkansas
Hill Station,37,3.5,2712 Kavanaugh Blvd,"Bars, American (Traditional), Burgers",Arkansas
Fidel & Co,79,4.5,500 Shall Ave,"Coffee Roasteries, Coffee & Tea, Breakfast & Brunch",Arkansas
Ristorante Capeo,102,4.0,425 Main St,"Italian, Seafood, Bars",Arkansas
Flyway Brewing,170,4.0,314 Maple St,"Breweries, Beer Tours, American (Traditional)",Arkansas
Lakeshore Resort Saloon,18,4.0,61953 Huntington Lake Rd,"Sports Bars, Dive Bars, American (Traditional)",California
Shorthorn Bar and Grill,45,4.5,41790 Dorabella Rd,"Bars, Pool Halls, American (Traditional)",California
The Point,10,4.0,44185 CA Hwy 168,"American (Traditional), Coffee & Tea, Wine Bars",California
Epic Cafe,358,5.0,2758 Boulder Dr,"Sandwiches, Bakeries",California
June Bug Cafe,125,4.5,6979A Hwy 140,"American (New), Breakfast & Brunch, Seafood",California
The Trading Post,153,4.0,41760 Tollhouse Road,American (New),California
Idle Hour Winery & Kitchen,105,4.5,41139 Hwy 41,"Wineries, American (New)",California
Shaver Lake Pub N Grub,192,4.0,41782 Dorabella Rd,"Pubs, American (Traditional), Soup",California
South Gate Brewing Company,1497,4.0,40233 Enterprise Dr,"American (Traditional), Brewpubs, Tapas/Small Plates",California
Silver Lake Resort Cafe,140,4.5,6957 Hwy 158,"Cafes, American (Traditional), Breakfast & Brunch",California
Miller's Landing Resort,251,4.5,37976 Rd 222,"Boating, Vacation Rentals, American (Traditional)",California
Tollhouse Market & Grill,76,4.5,28524 Tollhouse Rd,"Burgers, Convenience Stores, Italian",California
The Sawmill,19,4.0,41203 Tollhous Rd,"Cocktail Bars, Burgers, Sandwiches",California
Hideout Saloon,127,4.5,5031 State Hwy 140,"Cocktail Bars, American (New), Gastropubs",California
The Elderberry House,283,4.5,48688 Victoria Ln,"French, Cocktail Bars, American (New)",California
Charles Street Dinner House,549,4.5,5043 Hwy 140 and 7th St,"American (New), Steakhouses, Wine Bars",California
The Cabin,10,4.5,32754 Rd 222,"Burgers, Beer, Wine & Spirits",California
Baker Mountain House,17,5.0,48711 CA-245,"Burgers, Beer, Wine & Spirits, Steakhouses",California
Parkside Pizza,94,4.0,Yosemite View Restaurant & Lounge,Pizza,California
The Grizzlies Den,25,5.0,3125 Triangle Rd,American (Traditional),California
Mountain Tripper Cafe & Tea House,40,4.5,41781 Tollhouse Rd,"Coffee & Tea, Breakfast & Brunch, American (New)",California
Ducey's on the Lake,583,4.0,39255 Marina Dr,"Seafood, Steakhouses, American (Traditional)",California
Shaver Lake Pizza,357,4.0,41820 Tollhouse Rd,"Pizza, Chicken Wings",California
Pinehurst Lodge,61,4.5,53783 N Hwy 245,"American (New), Pubs",California
The Oasis,30,4.5,2675 HIghway 140,"American (Traditional), Mexican",California
Restaurant At Convict Lake,249,4.5,2000 Convict Lake Rd,"American (New), Pizza, Desserts",California
Don Fernando's,98,4.5,29533 Auberry Rd,Mexican,California
The Lift,121,4.5,2587 Hwy 158,"Bars, Coffee & Tea, Sandwiches",California
Cardinal Café,21,4.5,321 Cardinal Rd,"Cafes, Pizza",California
Oakhurst Grill and Whiskey 41 Lounge,331,4.0,40530 Hwy 41,"American (New), Lounges",California
Nativo's,32,4.5,711 Lucky Ln,Italian,California
Smokehouse 41,723,4.5,40713 Hwy 41,"Barbeque, Smokehouse, Sandwiches",California
1850 Restaurant,696,4.0,5114 Hwy 140,"American (Traditional), Burgers, Breweries",California
Savoury's,448,4.0,5034 State Hwy 140,"American (New), Bars, Seafood",California
Buckhorn Saloon,40,4.0,32992 Rd 222,"American (Traditional), Pubs",California
Balanced Rock Grill & Cantina,74,5.0,2588 Hwy 158,"Mexican, Salad, Sandwiches",California
Evergreen Lodge Restaurant and Tavern,82,4.0,33160 Evergreen Rd,American (Traditional),California
Genas Sierra Inn and Restaurant,82,4.0,37692 E Kings Canyon Rd,"American (Traditional), Hotels, Beer Bar",California
Lucky Buck Cafe,125,4.5,7647 State Highway 120,"Cafes, Breakfast & Brunch, Burgers",California
Wagner's Mammoth Pool Resort: Cafe,13,3.5,Mammoth Pool Rd,Cafes,California
Wild Fig Kitchen,383,4.5,35300 Hwy 41,"Breakfast & Brunch, Burgers, Sandwiches",California
Bear Mountain Pizza,151,4.0,31074 E Kings Canyon Rd,Pizza,California
Matsumoto Samurai's Kitchen,51,5.0,49777 Road 427,"Food Trucks, Poke, Japanese",California
Vintage Steakhouse,102,4.5,711 Lucky Ln,"Steakhouses, Seafood",California
Hungry Hut,357,3.5,42008 Tollhouse Rd,"Burgers, Sandwiches",California
Alpine Deli and Pizza,96,4.0,2784B Boulder Dr,"Delis, Pizza",California
Fish Camp General Store,79,4.0,1191 Hwy 41,"Delis, Sandwiches, Grocery",California
SKADI,422,5.0,94 Berner St,"Modern European, Wine Bars",California
Casa Velasco Mexican Restaurant,246,4.5,54311 Rd 432,Mexican,California
Blue Heron Restaurant & Yosemite Grill,102,4.0,30250 Yosemite Springs Pkwy,"American (Traditional), Bars, Venues & Event Spaces",California
